,n_voters,n_cands,n_issues,voters_p,cands_p,app_k,app_thresh,election_rules,n_reps,default_style,delegation_style,best_k,n_delegators,mean,variance,skew,kurtosis
0,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,0,0.6044400000000001,0.0008207364000000005,0.20749333848858204,-0.18792366989462472
1,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,10,0.6119600000000001,0.0007668584000000009,0.24923914289035054,-0.32773097103363646
2,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,20,0.63678,0.000836281600000001,0.19523689763448107,-0.12259729151305132
3,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,30,0.6538250000000001,0.0007662943750000002,0.46481548878648515,0.10292393877674533
4,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,40,0.6704049999999999,0.0007092109749999993,0.26325594570480804,-0.33200426307755615
5,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,50,0.694065,0.0008535507749999991,0.21619097555015707,0.5034992277328381
6,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,60,0.73746,0.000855298400000001,0.3163581255959599,-0.40176931919004844
7,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,70,0.7649150000000001,0.000756167775000001,-0.04406676791703853,0.06840091805469273
8,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,80,0.81874,0.0008676623999999991,0.12943186373154633,-0.06724620971254724
9,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,90,0.87925,0.0004863375000000009,-0.2774363435239842,0.166289971869805
10,100,60,200,0.5,0.5,100,0.5,borda,21,uniform,incisive,None,100,0.961685,0.00022143577499999994,-0.2530305673686545,-0.03635737460759447
